timestamp,open,high,low,close,volume
2020-12-24,3.7900,3.9500,3.7000,3.7300,1894319
2020-12-23,4.1400,4.1400,3.7700,3.7700,5005538
2020-12-22,4.3000,4.4500,3.9100,4.1400,6795510
2020-12-21,4.2200,4.4850,4.1600,4.1900,5787411
2020-12-18,4.3100,4.5000,4.0000,4.3200,11585606
2020-12-17,4.2600,4.6493,4.0200,4.2500,16619543
2020-12-16,3.9683,4.1100,3.6893,3.8000,11403215
2020-12-15,3.5300,3.6000,3.4000,3.5600,3697419
2020-12-14,3.5000,3.6000,3.3800,3.5100,4013873
2020-12-11,3.6600,3.6700,3.1800,3.3700,5281104
2020-12-10,3.4600,3.8000,3.4500,3.7500,2508731
2020-12-09,3.7700,3.9500,3.4300,3.5500,4165325
2020-12-08,3.7000,3.9700,3.6000,3.8600,3367382
2020-12-07,3.6400,4.1400,3.5300,3.7500,7747156
2020-12-04,3.7763,3.8900,3.5601,3.7100,4246896
2020-12-03,3.8973,3.9000,3.4100,3.7700,9534568
2020-12-02,4.2200,4.2700,3.5800,3.7500,13120611
2020-12-01,5.1200,5.2300,4.4800,4.7000,9517383
2020-11-30,5.9900,6.0600,4.8000,5.0000,13375991
2020-11-27,5.9000,6.1200,5.5000,5.7500,8517514
2020-11-25,5.4500,7.2600,5.1200,6.3700,20066050
2020-11-24,5.4900,5.6400,5.0900,5.4200,9569894
2020-11-23,4.9822,5.2800,4.7100,5.0600,11156982
2020-11-20,3.5000,4.3500,3.5000,4.2800,12121691
2020-11-19,3.2400,3.5200,3.1000,3.4900,5208496
2020-11-18,3.4458,3.5800,3.0800,3.2100,6233332
2020-11-17,3.5000,3.8600,3.2100,3.3200,10865960
2020-11-16,2.7300,3.7300,2.7101,3.2900,25592854
2020-11-13,2.6400,2.6800,2.5500,2.6600,1796652
2020-11-12,2.6500,2.7150,2.5300,2.6400,6263061
2020-11-11,2.4400,2.6500,2.3800,2.6200,3451274
2020-11-10,2.4700,2.5500,2.3500,2.3900,2329756
2020-11-09,2.3600,2.5500,2.2900,2.5300,4054668
2020-11-06,2.3600,2.4700,2.2900,2.4200,3651067
2020-11-05,2.2100,2.4100,2.1700,2.3800,4521659
