timestamp,open,high,low,close,volume
2020-12-24,7.3800,7.4000,7.0000,7.0300,1875476
2020-12-23,6.8200,7.5500,6.8100,7.3600,5935926
2020-12-22,6.9500,7.0600,6.7750,6.8600,3347552
2020-12-21,6.6300,7.0000,6.5200,6.9500,5582911
2020-12-18,6.9600,6.9900,6.7700,6.8500,11348457
2020-12-17,7.0000,7.0399,6.7000,7.0100,4133517
2020-12-16,7.3800,7.3800,6.8100,6.8800,7675857
2020-12-15,7.0700,7.2500,6.9900,7.2100,4910752
2020-12-14,7.4000,7.4400,7.0000,7.0700,6618805
2020-12-11,7.8400,7.8600,7.1250,7.2500,7598085
2020-12-10,7.1000,7.7600,7.1000,7.7200,9811632
2020-12-09,7.0000,7.2700,6.9000,7.0800,6185400
2020-12-08,6.7600,7.1200,6.6700,6.8500,5965891
2020-12-07,7.1600,7.2200,6.7600,6.7800,7870465
2020-12-04,6.9900,7.4200,6.9900,7.4200,6229712
2020-12-03,6.9900,7.0550,6.5600,6.9100,8244497
2020-12-02,7.2100,7.6200,7.1000,7.1100,4987053
2020-12-01,7.4400,7.6900,7.2000,7.2700,3831481
2020-11-30,7.8900,7.9700,7.2900,7.3000,4236393
2020-11-27,7.8000,7.9550,7.6000,7.7800,2152394
2020-11-25,7.9400,7.9900,7.6200,7.9300,3472283
2020-11-24,7.7700,8.0889,7.6500,7.9900,4650689
2020-11-23,7.3100,7.6400,7.2500,7.6400,6306307
2020-11-20,7.2000,7.5000,7.0000,7.1600,4094706
2020-11-19,6.9800,7.2400,6.6900,7.2200,6180622
2020-11-18,7.4200,7.5400,7.1050,7.1300,5059471
2020-11-17,6.9300,7.3300,6.9100,7.3100,4139934
2020-11-16,7.3900,7.4100,6.6200,7.0700,7940399
2020-11-13,6.8700,7.2650,6.8450,7.1800,3590997
2020-11-12,6.7200,7.0600,6.6450,6.7500,5054481
2020-11-11,6.9800,7.3383,6.7400,6.9100,6562932
2020-11-10,6.5200,6.9800,6.3800,6.9700,6199369
2020-11-09,6.3100,6.5700,6.0700,6.4300,8962534
2020-11-06,6.0800,6.3300,6.0400,6.0600,5577010
2020-11-05,6.0500,6.3400,6.0100,6.0400,5999428
2020-11-04,6.3000,6.3400,5.9300,6.0400,8158302
2020-11-03,6.6800,6.7400,6.2900,6.3600,6232176
2020-11-02,6.4600,6.6650,6.1200,6.5900,7488805
2020-10-30,7.3800,7.4100,6.3500,6.5800,17409164
2020-10-29,7.8300,7.9600,7.5700,7.7600,7102519
2020-10-28,8.4000,8.5600,7.8950,7.9200,7832395
2020-10-27,8.7300,8.7900,8.5313,8.6200,5135661
2020-10-26,9.1700,9.2500,8.6700,8.7400,5260659
2020-10-23,9.2700,9.3617,9.0000,9.0900,3682313
2020-10-22,8.7200,9.4100,8.5900,9.3900,6868060
2020-10-21,9.0000,9.2783,8.6100,8.6600,6898293
2020-10-20,8.4800,8.8800,8.4020,8.6900,4875733
2020-10-19,8.3600,8.5050,8.1100,8.3500,4036267
2020-10-16,8.6400,8.7850,8.2500,8.2700,4050654
2020-10-15,8.2600,8.6400,8.1200,8.6400,3299312
2020-10-14,8.0900,8.4650,8.0504,8.2300,3617605
2020-10-13,8.4100,8.5700,8.1300,8.1400,3076274
2020-10-12,8.3000,8.5050,8.0400,8.4300,4228179
2020-10-09,8.3300,8.5200,7.9300,8.0600,4003059
2020-10-08,7.9000,8.1000,7.7250,8.0900,5089003
2020-10-07,7.2000,7.9500,7.2000,7.8800,5866374
2020-10-06,7.1600,7.5410,6.9900,7.0300,6828177
2020-10-05,6.6600,7.1100,6.6600,7.0600,4188102
2020-10-02,6.2900,6.6400,6.2250,6.5000,4165526
2020-10-01,6.5600,6.7450,6.3100,6.4900,4000442
2020-09-30,6.8300,6.8799,6.5100,6.6200,5190570
2020-09-29,7.2200,7.2500,6.7925,6.8500,5239102
