direction,entryTime,entryPrice,exitTime,exitPrice,profit,profitPct,growth,riskPct,riskSeries,rmultiple,holdingPeriod,exitReason,stopPrice,stopPriceSeries,profitTarget
long,2014/08/07,94.93,2014/08/12,96.04,1.1099999999999994,1.1692826293058036,1.011692826293058,4.9999999999999964,,0.23385652586116085,2,exit-rule,90.18350000000001,,
long,2014/09/05,98.8,2014/09/11,100.41,1.6099999999999994,1.6295546558704448,1.0162955465587045,4.999999999999997,,0.3259109311740891,3,exit-rule,93.86,,
long,2014/09/26,98.53,2014/10/09,101.54,3.010000000000005,3.0549071348827823,1.030549071348828,5.000000000000004,,0.6109814269765559,8,exit-rule,93.6035,,
long,2014/10/14,100.39,2014/10/15,95.37049999999999,-5.019500000000008,-5.000000000000008,0.95,5.000000000000008,,-1,0,stop-loss,95.37049999999999,,
long,2014/10/17,97.5,2014/10/22,102.84,5.340000000000003,5.476923076923081,1.054769230769231,5,,1.095384615384616,2,exit-rule,92.625,,
long,2014/12/09,110.19,2014/12/29,113.79,3.6000000000000085,3.2670841274162887,1.032670841274163,5.000000000000003,,0.6534168254832574,12,exit-rule,104.6805,,
long,2014/12/31,112.82,2015/01/05,107.17899999999999,-5.641000000000005,-5.000000000000005,0.95,5.000000000000005,,-1,1,stop-loss,107.17899999999999,,
long,2015/01/07,107.2,2015/01/23,112.3,5.099999999999994,4.757462686567158,1.0475746268656716,5,,0.9514925373134319,10,exit-rule,101.84,,
long,2015/01/28,117.625,2015/01/30,118.4,0.7750000000000057,0.6588735387885277,1.0065887353878853,4.999999999999996,,0.13177470775770567,1,exit-rule,111.74375,,
long,2015/03/11,124.75,2015/03/18,127,2.25,1.8036072144288577,1.0180360721442885,4.999999999999997,,0.3607214428857717,4,exit-rule,118.5125,,
long,2015/03/23,127.12,2015/04/07,127.64,0.519999999999996,0.4090623033354279,1.0040906230333544,4.999999999999996,,0.08181246066708567,9,exit-rule,120.76400000000001,,
long,2015/04/09,125.85,2015/04/13,128.37,2.5200000000000102,2.0023837902264683,1.0200238379022646,5.000000000000003,,0.40047675804529337,1,exit-rule,119.55749999999999,,
long,2015/04/20,125.57,2015/04/22,126.99,1.4200000000000017,1.1308433543043734,1.0113084335430438,4.999999999999996,,0.2261686708608749,1,exit-rule,119.2915,,
long,2015/05/01,126.1,2015/05/05,128.15,2.0500000000000114,1.62569389373514,1.0162569389373515,5.000000000000006,,0.3251387787470276,1,exit-rule,119.79499999999999,,
long,2015/05/07,124.77,2015/05/11,127.39,2.6200000000000045,2.0998637492987133,1.0209986374929871,5.000000000000002,,0.41997274985974253,1,exit-rule,118.5315,,
long,2015/05/13,126.15,2015/05/15,129.07,2.9199999999999875,2.3147047166072037,1.023147047166072,5.000000000000003,,0.4629409433214404,1,exit-rule,119.8425,,
long,2015/06/08,128.9,2015/06/11,129.18,0.28000000000000114,0.21722265321955092,1.0021722265321955,4.999999999999995,,0.04344453064391023,2,exit-rule,122.45500000000001,,
long,2015/06/15,126.1,2015/07/09,119.79499999999999,-6.305000000000007,-5.000000000000006,0.95,5.000000000000006,,-1,16,stop-loss,119.79499999999999,,
long,2015/07/13,125.03,2015/07/16,127.74,2.7099999999999937,2.167479804846832,1.0216747980484684,4.999999999999994,,0.4334959609693668,2,exit-rule,118.77850000000001,,
long,2015/07/23,126.2,2015/08/03,119.89,-6.310000000000002,-5.000000000000002,0.95,5.000000000000002,,-1,6,stop-loss,119.89,,
long,2015/08/05,112.95,2015/08/21,107.30250000000001,-5.647499999999994,-4.999999999999994,0.9500000000000001,4.999999999999994,,-1,11,stop-loss,107.30250000000001,,
long,2015/08/25,111.11,2015/08/26,105.5545,-5.555499999999995,-4.999999999999996,0.9500000000000001,4.999999999999996,,-1,0,stop-loss,105.5545,,
long,2015/08/28,112.17,2015/09/14,116.58,4.409999999999997,3.9315324953196016,1.0393153249531961,5.000000000000006,,0.7863064990639194,9,exit-rule,106.5615,,
long,2015/09/30,110.17,2015/10/21,114,3.8299999999999983,3.476445493328491,1.0347644549332848,4.999999999999998,,0.6952890986656984,14,exit-rule,104.6615,,
long,2015/11/16,111.38,2015/11/19,117.64,6.260000000000005,5.620398635302572,1.0562039863530257,5.000000000000003,,1.1240797270605138,2,exit-rule,105.81099999999999,,
long,2015/12/02,117.05,2015/12/07,118.98,1.9300000000000068,1.6488680051260203,1.0164886800512603,5.000000000000005,,0.3297736010252037,2,exit-rule,111.19749999999999,,
long,2015/12/10,116.04,2015/12/14,110.238,-5.802000000000007,-5.000000000000006,0.95,5.000000000000006,,-1,1,stop-loss,110.238,,
long,2015/12/16,111.07,2015/12/31,105.5165,-5.5535,-5,0.95,5,,-1,9,stop-loss,105.5165,,
long,2016/01/05,105.75,2016/01/06,100.4625,-5.287499999999994,-4.999999999999995,0.9500000000000001,4.999999999999995,,-1,0,stop-loss,100.4625,,
long,2016/01/08,98.55,2016/01/20,93.6225,-4.927499999999995,-4.999999999999995,0.9500000000000001,4.999999999999995,,-1,6,stop-loss,93.6225,,
long,2016/01/22,98.63,2016/01/27,93.6985,-4.9315,-5,0.95,5,,-1,2,stop-loss,93.6985,,
long,2016/01/29,94.79,2016/02/18,98.84,4.049999999999997,4.272602595210461,1.0427260259521047,5.000000000000006,,0.8545205190420913,12,exit-rule,90.0505,,
long,2016/02/22,96.31,2016/02/26,97.2,0.8900000000000006,0.924099262797218,1.0092409926279722,5,,0.18481985255944358,3,exit-rule,91.4945,,
long,2016/04/20,106.64,2016/04/27,101.30799999999999,-5.332000000000008,-5.000000000000007,0.95,5.000000000000007,,-1,4,stop-loss,101.30799999999999,,
long,2016/04/29,93.99,2016/05/26,99.68,5.690000000000012,6.05383551441644,1.0605383551441645,5.000000000000001,,1.2107671028832878,18,exit-rule,89.2905,,
long,2016/06/20,96,2016/07/12,97.17,1.1700000000000017,1.2187500000000018,1.0121875,4.9999999999999964,,0.2437500000000005,14,exit-rule,91.2,,
long,2016/09/09,104.64,2016/09/14,108.73,4.090000000000003,3.9086391437308903,1.039086391437309,5,,0.7817278287461781,2,exit-rule,99.408,,
long,2016/10/28,113.87,2016/11/04,108.1765,-5.6935,-5,0.95,5,,-1,4,stop-loss,108.1765,,
long,2016/11/08,110.31,2016/11/14,104.7945,-5.515500000000003,-5.000000000000003,0.95,5.000000000000003,,-1,3,stop-loss,104.7945,,
long,2016/11/16,106.7,2016/12/08,110.86,4.159999999999997,3.89878163074039,1.038987816307404,4.999999999999994,,0.779756326148079,14,exit-rule,101.36500000000001,,
long,2017/04/17,141.48,2017/04/21,142.44,0.960000000000008,0.6785411365564094,1.006785411365564,5.000000000000009,,0.13570822731128163,3,exit-rule,134.40599999999998,,
long,2017/06/12,145.74,2017/07/14,147.97,2.2299999999999898,1.530122135309448,1.0153012213530945,5.0000000000000036,,0.30602442706188937,22,exit-rule,138.453,,
long,2017/09/11,160.5,2017/09/13,159.87,-0.6299999999999955,-0.39252336448597847,0.9960747663551403,5.0000000000000036,,-0.07850467289719563,1,exit-rule,152.475,,
long,2017/09/15,158.47,2017/09/25,150.5465,-7.92349999999999,-4.999999999999994,0.9500000000000001,4.999999999999994,,-1,5,stop-loss,150.5465,,
long,2017/09/27,153.8,2017/10/16,157.9,4.099999999999994,2.6657997399219724,1.0266579973992198,4.999999999999998,,0.5331599479843947,12,exit-rule,146.11,,
long,2017/10/20,156.61,2017/10/24,156.29,-0.3200000000000216,-0.2043292254645435,0.9979567077453546,5,,-0.0408658450929087,1,exit-rule,148.7795,,
long,2017/12/06,167.5,2017/12/12,172.15,4.650000000000006,2.776119402985078,1.0277611940298508,5,,0.5552238805970156,3,exit-rule,159.125,,
long,2017/12/27,170.1,2018/01/03,172.53,2.430000000000007,1.4285714285714326,1.0142857142857142,4.999999999999997,,0.28571428571428664,3,exit-rule,161.595,,
long,2018/01/25,174.51,2018/01/30,165.78449999999998,-8.725500000000011,-5.000000000000006,0.95,5.000000000000006,,-1,2,stop-loss,165.78449999999998,,
long,2018/02/01,167.17,2018/02/05,158.8115,-8.358499999999992,-4.999999999999996,0.9500000000000001,4.999999999999996,,-1,1,stop-loss,158.8115,,
long,2018/02/07,163.09,2018/02/09,154.9355,-8.154500000000013,-5.000000000000008,0.95,5.000000000000008,,-1,1,stop-loss,154.9355,,
long,2018/02/13,161.95,2018/02/16,172.36,10.410000000000025,6.427909848718756,1.0642790984871875,4.999999999999998,,1.2855819697437516,2,exit-rule,153.8525,,
long,2018/03/22,170,2018/04/13,174.78,4.780000000000001,2.8117647058823536,1.0281176470588236,5,,0.5623529411764707,14,exit-rule,161.5,,
long,2018/04/20,170.6,2018/04/24,162.07,-8.530000000000001,-5.000000000000001,0.95,5.000000000000001,,-1,1,stop-loss,162.07,,
