Metric                 Value
---------------------  -----
startingCapital        10000
finalCapital           42973
profit                 32973
profitPct              330  
growth                 4    
totalTrades            203  
barCount               742  
maxDrawdown            -9553
maxDrawdownPct         -39  
maxRiskPct             5    
expectency             0    
rmultipleStdDev        2    
systemQuality          0    
profitFactor           2    
proportionProfitable   0    
percentProfitable      48   
returnOnAccount        8    
averageProfitPerTrade  162  
numWinningTrades       97   
numLosingTrades        106  
averageWinningTrade    18   
averageLosingTrade     -10  
expectedValue          3    
