Metric                 Value   
---------------------  --------
startingCapital        500     
finalCapital           524     
profit                 24      
profitPct              5       
growth                 1       
totalTrades            1       
barCount               55      
maxDrawdown            0       
maxDrawdownPct         0       
maxRiskPct             5       
expectency             1       
rmultipleStdDev        0       
systemQuality          NaN     
profitFactor           NaN     
proportionProfitable   1       
percentProfitable      100     
returnOnAccount        Infinity
averageProfitPerTrade  24      
numWinningTrades       1       
numLosingTrades        0       
averageWinningTrade    7       
averageLosingTrade     0       
expectedValue          7       
