Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           199  
profit                 99   
profitPct              99   
growth                 2    
totalTrades            4    
barCount               46   
maxDrawdown            -5   
maxDrawdownPct         -5   
maxRiskPct             5    
expectency             4    
rmultipleStdDev        4    
systemQuality          1    
profitFactor           21   
proportionProfitable   1    
percentProfitable      75   
returnOnAccount        20   
averageProfitPerTrade  25   
numWinningTrades       3    
numLosingTrades        1    
averageWinningTrade    10   
averageLosingTrade     -1   
expectedValue          7    
