Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           107  
profit                 7    
profitPct              7    
growth                 1    
totalTrades            3    
barCount               16   
maxDrawdown            -10  
maxDrawdownPct         -10  
maxRiskPct             5    
expectency             1    
rmultipleStdDev        3    
systemQuality          0    
profitFactor           3    
proportionProfitable   0    
percentProfitable      33   
returnOnAccount        1    
averageProfitPerTrade  2    
numWinningTrades       1    
numLosingTrades        2    
averageWinningTrade    10   
averageLosingTrade     -2   
expectedValue          2    
