Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           77   
profit                 -23  
profitPct              -23  
growth                 1    
totalTrades            6    
barCount               17   
maxDrawdown            -23  
maxDrawdownPct         -23  
maxRiskPct             5    
expectency             -1   
rmultipleStdDev        0    
systemQuality          -2   
profitFactor           0    
proportionProfitable   0    
percentProfitable      0    
returnOnAccount        -1   
averageProfitPerTrade  -4   
numWinningTrades       0    
numLosingTrades        6    
averageWinningTrade    0    
averageLosingTrade     -7   
expectedValue          -7   
