Metric                 Value
---------------------  -----
startingCapital        625  
finalCapital           710  
profit                 85   
profitPct              14   
growth                 1    
totalTrades            2    
barCount               19   
maxDrawdown            -31  
maxDrawdownPct         -5   
maxRiskPct             5    
expectency             1    
rmultipleStdDev        3    
systemQuality          0    
profitFactor           5    
proportionProfitable   1    
percentProfitable      50   
returnOnAccount        3    
averageProfitPerTrade  42   
numWinningTrades       1    
numLosingTrades        1    
averageWinningTrade    5    
averageLosingTrade     -1   
expectedValue          2    
