Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           87   
profit                 -13  
profitPct              -13  
growth                 1    
totalTrades            8    
barCount               25   
maxDrawdown            -26  
maxDrawdownPct         -26  
maxRiskPct             5    
expectency             0    
rmultipleStdDev        2    
systemQuality          0    
profitFactor           1    
proportionProfitable   0    
percentProfitable      25   
returnOnAccount        0    
averageProfitPerTrade  -2   
numWinningTrades       2    
numLosingTrades        6    
averageWinningTrade    1    
averageLosingTrade     0    
expectedValue          0    
