Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           98   
profit                 -2   
profitPct              -2   
growth                 1    
totalTrades            5    
barCount               71   
maxDrawdown            -14  
maxDrawdownPct         -14  
maxRiskPct             5    
expectency             0    
rmultipleStdDev        1    
systemQuality          0    
profitFactor           1    
proportionProfitable   0    
percentProfitable      40   
returnOnAccount        0    
averageProfitPerTrade  0    
numWinningTrades       2    
numLosingTrades        3    
averageWinningTrade    3    
averageLosingTrade     -2   
expectedValue          0    
