Metric                 Value   
---------------------  --------
startingCapital        100     
finalCapital           128     
profit                 28      
profitPct              28      
growth                 1       
totalTrades            3       
barCount               121     
maxDrawdown            0       
maxDrawdownPct         0       
maxRiskPct             5       
expectency             2       
rmultipleStdDev        2       
systemQuality          1       
profitFactor           NaN     
proportionProfitable   1       
percentProfitable      100     
returnOnAccount        Infinity
averageProfitPerTrade  9       
numWinningTrades       3       
numLosingTrades        0       
averageWinningTrade    13      
averageLosingTrade     0       
expectedValue          13      
