Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           106  
profit                 6    
profitPct              6    
growth                 1    
totalTrades            3    
barCount               10   
maxDrawdown            -6   
maxDrawdownPct         -5   
maxRiskPct             5    
expectency             1    
rmultipleStdDev        3    
systemQuality          0    
profitFactor           2    
proportionProfitable   0    
percentProfitable      33   
returnOnAccount        1    
averageProfitPerTrade  2    
numWinningTrades       1    
numLosingTrades        2    
averageWinningTrade    1    
averageLosingTrade     0    
expectedValue          0    
