Metric                 Value   
---------------------  --------
startingCapital        100     
finalCapital           169     
profit                 69      
profitPct              69      
growth                 2       
totalTrades            2       
barCount               32      
maxDrawdown            0       
maxDrawdownPct         0       
maxRiskPct             5       
expectency             6       
rmultipleStdDev        2       
systemQuality          4       
profitFactor           NaN     
proportionProfitable   1       
percentProfitable      100     
returnOnAccount        Infinity
averageProfitPerTrade  34      
numWinningTrades       2       
numLosingTrades        0       
averageWinningTrade    18      
averageLosingTrade     0       
expectedValue          18      
