Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           134  
profit                 34   
profitPct              34   
growth                 1    
totalTrades            3    
barCount               51   
maxDrawdown            -10  
maxDrawdownPct         -10  
maxRiskPct             5    
expectency             3    
rmultipleStdDev        6    
systemQuality          0    
profitFactor           2    
proportionProfitable   0    
percentProfitable      33   
returnOnAccount        4    
averageProfitPerTrade  11   
numWinningTrades       1    
numLosingTrades        2    
averageWinningTrade    9    
averageLosingTrade     -2   
expectedValue          2    
