Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           84   
profit                 -16  
profitPct              -16  
growth                 1    
totalTrades            6    
barCount               32   
maxDrawdown            -23  
maxDrawdownPct         -23  
maxRiskPct             5    
expectency             -1   
rmultipleStdDev        1    
systemQuality          -1   
profitFactor           0    
proportionProfitable   0    
percentProfitable      17   
returnOnAccount        -1   
averageProfitPerTrade  -3   
numWinningTrades       1    
numLosingTrades        5    
averageWinningTrade    7    
averageLosingTrade     -4   
expectedValue          -2   
