Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           170  
profit                 70   
profitPct              70   
growth                 2    
totalTrades            5    
barCount               36   
maxDrawdown            -13  
maxDrawdownPct         -10  
maxRiskPct             5    
expectency             3    
rmultipleStdDev        5    
systemQuality          1    
profitFactor           5    
proportionProfitable   0    
percentProfitable      40   
returnOnAccount        7    
averageProfitPerTrade  14   
numWinningTrades       2    
numLosingTrades        3    
averageWinningTrade    9    
averageLosingTrade     -1   
expectedValue          3    
