Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           119  
profit                 19   
profitPct              19   
growth                 1    
totalTrades            2    
barCount               6    
maxDrawdown            -6   
maxDrawdownPct         -5   
maxRiskPct             5    
expectency             2    
rmultipleStdDev        4    
systemQuality          0    
profitFactor           3    
proportionProfitable   1    
percentProfitable      50   
returnOnAccount        4    
averageProfitPerTrade  10   
numWinningTrades       1    
numLosingTrades        1    
averageWinningTrade    59   
averageLosingTrade     -21  
expectedValue          19   
