Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           121  
profit                 21   
profitPct              21   
growth                 1    
totalTrades            14   
barCount               43   
maxDrawdown            -30  
maxDrawdownPct         -30  
maxRiskPct             5    
expectency             0    
rmultipleStdDev        2    
systemQuality          0    
profitFactor           2    
proportionProfitable   0    
percentProfitable      43   
returnOnAccount        1    
averageProfitPerTrade  2    
numWinningTrades       6    
numLosingTrades        8    
averageWinningTrade    6    
averageLosingTrade     -2   
expectedValue          1    
