Metric                 Value
---------------------  -----
startingCapital        625  
finalCapital           679  
profit                 54   
profitPct              9    
growth                 1    
totalTrades            16   
barCount               41   
maxDrawdown            -189 
maxDrawdownPct         -30  
maxRiskPct             5    
expectency             0    
rmultipleStdDev        2    
systemQuality          0    
profitFactor           1    
proportionProfitable   0    
percentProfitable      31   
returnOnAccount        0    
averageProfitPerTrade  3    
numWinningTrades       5    
numLosingTrades        11   
averageWinningTrade    5    
averageLosingTrade     -2   
expectedValue          0    
