Metric                 Value
---------------------  -----
startingCapital        714  
finalCapital           513  
profit                 -201 
profitPct              -28  
growth                 1    
totalTrades            18   
barCount               45   
maxDrawdown            -328 
maxDrawdownPct         -46  
maxRiskPct             5    
expectency             0    
rmultipleStdDev        1    
systemQuality          0    
profitFactor           0    
proportionProfitable   0    
percentProfitable      22   
returnOnAccount        -1   
averageProfitPerTrade  -11  
numWinningTrades       4    
numLosingTrades        14   
averageWinningTrade    2    
averageLosingTrade     -1   
expectedValue          0    
