Metric                 Value   
---------------------  --------
startingCapital        714     
finalCapital           751     
profit                 37      
profitPct              5       
growth                 1       
totalTrades            2       
barCount               92      
maxDrawdown            0       
maxDrawdownPct         0       
maxRiskPct             5       
expectency             1       
rmultipleStdDev        0       
systemQuality          1       
profitFactor           NaN     
proportionProfitable   1       
percentProfitable      100     
returnOnAccount        Infinity
averageProfitPerTrade  18      
numWinningTrades       2       
numLosingTrades        0       
averageWinningTrade    0       
averageLosingTrade     0       
expectedValue          0       
