Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           153  
profit                 53   
profitPct              53   
growth                 2    
totalTrades            3    
barCount               10   
maxDrawdown            -5   
maxDrawdownPct         -5   
maxRiskPct             5    
expectency             3    
rmultipleStdDev        5    
systemQuality          1    
profitFactor           12   
proportionProfitable   1    
percentProfitable      67   
returnOnAccount        11   
averageProfitPerTrade  18   
numWinningTrades       2    
numLosingTrades        1    
averageWinningTrade    8    
averageLosingTrade     -1   
expectedValue          5    
