Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           173  
profit                 73   
profitPct              73   
growth                 2    
totalTrades            14   
barCount               58   
maxDrawdown            -21  
maxDrawdownPct         -19  
maxRiskPct             5    
expectency             1    
rmultipleStdDev        4    
systemQuality          0    
profitFactor           2    
proportionProfitable   0    
percentProfitable      29   
returnOnAccount        4    
averageProfitPerTrade  5    
numWinningTrades       4    
numLosingTrades        10   
averageWinningTrade    7    
averageLosingTrade     -1   
expectedValue          1    
