Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           240  
profit                 140  
profitPct              140  
growth                 2    
totalTrades            8    
barCount               84   
maxDrawdown            -10  
maxDrawdownPct         -5   
maxRiskPct             5    
expectency             3    
rmultipleStdDev        5    
systemQuality          1    
profitFactor           7    
proportionProfitable   1    
percentProfitable      63   
returnOnAccount        28   
averageProfitPerTrade  17   
numWinningTrades       5    
numLosingTrades        3    
averageWinningTrade    2    
averageLosingTrade     0    
expectedValue          1    
