Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           159  
profit                 59   
profitPct              59   
growth                 2    
totalTrades            19   
barCount               72   
maxDrawdown            -30  
maxDrawdownPct         -30  
maxRiskPct             5    
expectency             1    
rmultipleStdDev        4    
systemQuality          0    
profitFactor           2    
proportionProfitable   0    
percentProfitable      21   
returnOnAccount        2    
averageProfitPerTrade  3    
numWinningTrades       4    
numLosingTrades        15   
averageWinningTrade    3    
averageLosingTrade     0    
expectedValue          0    
