Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           130  
profit                 30   
profitPct              30   
growth                 1    
totalTrades            10   
barCount               64   
maxDrawdown            -23  
maxDrawdownPct         -23  
maxRiskPct             5    
expectency             1    
rmultipleStdDev        4    
systemQuality          0    
profitFactor           1    
proportionProfitable   0    
percentProfitable      40   
returnOnAccount        1    
averageProfitPerTrade  3    
numWinningTrades       4    
numLosingTrades        6    
averageWinningTrade    3    
averageLosingTrade     -1   
expectedValue          0    
