direction,entryTime,entryPrice,exitTime,exitPrice,profit,profitPct,growth,riskPct,riskSeries,rmultiple,holdingPeriod,exitReason,stopPrice,stopPriceSeries,profitTarget,entry,open,high,low,close,volume,time,longTermDirection,upTrendCounter,downTrendCounter,longSma,shortSma,longEma,shortEma,rsi
1,2020/02/18,34.25,2020/02/25,32.5375,-1.7124999999999986,-4.9999999999999964,0.9500000000000001,4.9999999999999964,,-1,4,stop-loss,32.5375,,,[object Object],5.75,5.95,5.66,5.8,2225820,2020-02-19T00:00:00.000Z,1,4,0,6.346333333333334,5.594285714285713,28.742513075307944,5.70710878372074,37.93103448275862
1,2020/02/27,31.3,2020/02/28,29.735,-1.5650000000000013,-5.0000000000000036,0.95,5.0000000000000036,,-1,0,stop-loss,29.735,,,[object Object],3.37,3.38,3,3.2,1876297,2020-03-10T00:00:00.000Z,1,0,11,5.069999999999999,3.6957142857142853,13.771609860994213,3.6699374822980313,18.89952153110049
1,2020/03/03,31.5,2020/03/06,29.925,-1.5749999999999993,-4.999999999999997,0.9500000000000001,4.999999999999997,,-1,2,stop-loss,29.925,,,[object Object],2.75,2.83,2.5,2.83,1540841,2020-03-13T00:00:00.000Z,1,0,14,4.689000000000001,3.172857142857143,11.76934553723567,3.126692375344482,17.43341404358354
1,2020/03/10,25.98,2020/03/12,24.681,-1.2989999999999995,-4.999999999999998,0.9500000000000001,4.999999999999998,,-1,1,stop-loss,24.681,,,[object Object],2.93,3.25,2.88,3.23,1873810,2020-04-12T23:00:00.000Z,1,5,0,3.0126666666666666,2.892857142857143,5.21146595733187,2.963081214878245,63.05732484076433
1,2020/03/16,21.51,2020/03/17,20.4345,-1.0755000000000017,-5.000000000000007,0.95,5.000000000000007,,-1,0,stop-loss,20.4345,,,[object Object],3.4,3.59,3.34,3.55,1205931,2020-04-16T23:00:00.000Z,1,9,0,2.9390000000000005,3.2471428571428573,4.788218561102176,3.26995929064507,58.45070422535211
1,2020/03/19,16.34,2020/05/19,24.75,8.41,51.46878824969401,1.51468788249694,5.000000000000001,,10.293757649938799,41,exit-rule,15.523,,,[object Object],5.8,5.8,5.33,5.5,1823241,2020-06-11T23:00:00.000Z,1,6,0,4.9399999999999995,6.137142857142856,5.181435321003564,5.787870763944033,59.18367346938775
1,2020/06/26,25,2020/07/09,23.75,-1.25,-5,0.95,5,,-1,7,stop-loss,23.75,,,[object Object],7.33,7.68,6.82,7.6,5001300,2020-07-13T23:00:00.000Z,1,4,0,6.065666666666668,7.112857142857143,6.074613446968108,7.126294358281216,59.856630824372765
1,2020/07/13,24.65,2020/07/17,26.99,2.34,9.49290060851927,1.0949290060851926,5.000000000000007,,1.8985801217038512,3,exit-rule,23.417499999999997,,,[object Object],17.55,17.7,16.23,17.1,7132867,2020-08-05T23:00:00.000Z,1,4,0,9.429,15.854285714285712,10.755017939083476,15.712541462223419,71.05380168963984
-1,2020/07/31,25.12,2020/08/07,26.48,1.3599999999999994,5.414012738853501,1.054140127388535,5.000000000000001,,1.0828025477707,4,exit-rule,23.864,,,[object Object],9.41,9.45,8.8,9.06,6688552,2020-08-26T23:00:00.000Z,-1,0,14,12.57366666666667,10.258571428571429,11.52909652190577,10.42839313473095,12.664714494875525
1,2020/09/29,29.27,2020/10/02,29.65,0.379999999999999,1.298257601639901,1.012982576016399,5,,0.2596515203279802,2,exit-rule,27.8065,,,[object Object],8.14,8.17,7.65,8.08,3320140,2020-09-30T23:00:00.000Z,1,4,0,8.661,7.765714285714286,8.797243147596701,7.940994066033869,48.07692307692308
