Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           116  
profit                 16   
profitPct              16   
growth                 1    
totalTrades            20   
barCount               45   
maxDrawdown            -46  
maxDrawdownPct         -46  
maxRiskPct             5    
expectency             0    
rmultipleStdDev        4    
systemQuality          0    
profitFactor           2    
proportionProfitable   0    
percentProfitable      15   
returnOnAccount        0    
averageProfitPerTrade  1    
numWinningTrades       3    
numLosingTrades        17   
averageWinningTrade    2    
averageLosingTrade     0    
expectedValue          0    
