Metric                 Value
---------------------  -----
startingCapital        714  
finalCapital           889  
profit                 175  
profitPct              24   
growth                 1    
totalTrades            5    
barCount               84   
maxDrawdown            -114 
maxDrawdownPct         -14  
maxRiskPct             5    
expectency             1    
rmultipleStdDev        3    
systemQuality          0    
profitFactor           3    
proportionProfitable   0    
percentProfitable      40   
returnOnAccount        2    
averageProfitPerTrade  35   
numWinningTrades       2    
numLosingTrades        3    
averageWinningTrade    2    
averageLosingTrade     -1   
expectedValue          1    
