direction,entryTime,entryPrice,exitTime,exitPrice,profit,profitPct,growth,riskPct,riskSeries,rmultiple,holdingPeriod,exitReason,stopPrice,stopPriceSeries,profitTarget,entry,open,high,low,close,volume,time,longTermDirection,upTrendCounter,downTrendCounter,longSma,shortSma,longEma,shortEma,rsi
1,2020/02/14,46.26,2020/02/27,43.946999999999996,-2.3130000000000024,-5.000000000000005,0.95,5.000000000000005,,-1,7,stop-loss,43.946999999999996,,,[object Object],5.75,5.95,5.66,5.8,2225820,2020-02-19T00:00:00.000Z,1,4,0,6.346333333333334,5.594285714285713,28.742513075307944,5.70710878372074,37.93103448275862
1,2020/03/02,41.59,2020/03/09,39.5105,-2.079500000000003,-5.000000000000006,0.95,5.000000000000006,,-1,4,stop-loss,39.5105,,,[object Object],3.37,3.38,3,3.2,1876297,2020-03-10T00:00:00.000Z,1,0,11,5.069999999999999,3.6957142857142853,13.771609860994213,3.6699374822980313,18.89952153110049
1,2020/03/11,39.87,2020/03/12,37.8765,-1.9934999999999974,-4.999999999999994,0.9500000000000001,4.999999999999994,,-1,0,stop-loss,37.8765,,,[object Object],2.75,2.83,2.5,2.83,1540841,2020-03-13T00:00:00.000Z,1,0,14,4.689000000000001,3.172857142857143,11.76934553723567,3.126692375344482,17.43341404358354
1,2020/03/16,36.3,2020/03/17,34.485,-1.8149999999999977,-4.999999999999994,0.9500000000000001,4.999999999999994,,-1,0,stop-loss,34.485,,,[object Object],2.93,3.25,2.88,3.23,1873810,2020-04-12T23:00:00.000Z,1,5,0,3.0126666666666666,2.892857142857143,5.21146595733187,2.963081214878245,63.05732484076433
1,2020/03/19,33.28,2020/03/20,31.616,-1.6640000000000015,-5.000000000000004,0.95,5.000000000000004,,-1,0,stop-loss,31.616,,,[object Object],3.4,3.59,3.34,3.55,1205931,2020-04-16T23:00:00.000Z,1,9,0,2.9390000000000005,3.2471428571428573,4.788218561102176,3.26995929064507,58.45070422535211
1,2020/03/24,28.71,2020/04/15,38.49,9.780000000000001,34.06478578892372,1.3406478578892371,5.0000000000000036,,6.81295715778474,14,exit-rule,27.2745,,,[object Object],5.8,5.8,5.33,5.5,1823241,2020-06-11T23:00:00.000Z,1,6,0,4.9399999999999995,6.137142857142856,5.181435321003564,5.787870763944033,59.18367346938775
1,2020/09/23,56.62,2020/10/13,57.67,1.0500000000000043,1.8544683857294317,1.0185446838572942,5.000000000000006,,0.37089367714588595,13,exit-rule,53.788999999999994,,,[object Object],7.33,7.68,6.82,7.6,5001300,2020-07-13T23:00:00.000Z,1,4,0,6.065666666666668,7.112857142857143,6.074613446968108,7.126294358281216,59.856630824372765
1,2020/10/21,56.11,2020/10/26,53.3045,-2.805500000000002,-5.0000000000000036,0.95,5.0000000000000036,,-1,2,stop-loss,53.3045,,,[object Object],17.55,17.7,16.23,17.1,7132867,2020-08-05T23:00:00.000Z,1,4,0,9.429,15.854285714285712,10.755017939083476,15.712541462223419,71.05380168963984
-1,2020/10/28,53.23,2020/11/06,57.89,4.660000000000004,8.75446176967876,1.0875446176967876,4.999999999999994,,1.7508923539357542,6,exit-rule,50.5685,,,[object Object],9.41,9.45,8.8,9.06,6688552,2020-08-26T23:00:00.000Z,-1,0,14,12.57366666666667,10.258571428571429,11.52909652190577,10.42839313473095,12.664714494875525
1,2020/11/10,53.62,2020/12/18,55.06,1.4400000000000048,2.68556508765387,1.0268556508765387,4.999999999999996,,0.5371130175307745,26,exit-rule,50.939,,,[object Object],8.14,8.17,7.65,8.08,3320140,2020-09-30T23:00:00.000Z,1,4,0,8.661,7.765714285714286,8.797243147596701,7.940994066033869,48.07692307692308
