Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           155  
profit                 55   
profitPct              55   
growth                 2    
totalTrades            19   
barCount               93   
maxDrawdown            -65  
maxDrawdownPct         -34  
maxRiskPct             5    
expectency             1    
rmultipleStdDev        4    
systemQuality          0    
profitFactor           2    
proportionProfitable   0    
percentProfitable      21   
returnOnAccount        2    
averageProfitPerTrade  3    
numWinningTrades       4    
numLosingTrades        15   
averageWinningTrade    10   
averageLosingTrade     -1   
expectedValue          1    
