Metric                 Value   
---------------------  --------
startingCapital        100     
finalCapital           109     
profit                 9       
profitPct              9       
growth                 1       
totalTrades            1       
barCount               17      
maxDrawdown            0       
maxDrawdownPct         0       
maxRiskPct             5       
expectency             2       
rmultipleStdDev        0       
systemQuality          NaN     
profitFactor           NaN     
proportionProfitable   1       
percentProfitable      100     
returnOnAccount        Infinity
averageProfitPerTrade  9       
numWinningTrades       1       
numLosingTrades        0       
averageWinningTrade    2       
averageLosingTrade     0       
expectedValue          2       
