Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           110  
profit                 10   
profitPct              10   
growth                 1    
totalTrades            6    
barCount               21   
maxDrawdown            -6   
maxDrawdownPct         -6   
maxRiskPct             5    
expectency             0    
rmultipleStdDev        2    
systemQuality          0    
profitFactor           2    
proportionProfitable   1    
percentProfitable      50   
returnOnAccount        2    
averageProfitPerTrade  2    
numWinningTrades       3    
numLosingTrades        3    
averageWinningTrade    2    
averageLosingTrade     -1   
expectedValue          0    
