Metric                 Value
---------------------  -----
startingCapital        625  
finalCapital           804  
profit                 179  
profitPct              29   
growth                 1    
totalTrades            14   
barCount               54   
maxDrawdown            -189 
maxDrawdownPct         -30  
maxRiskPct             5    
expectency             1    
rmultipleStdDev        3    
systemQuality          0    
profitFactor           1    
proportionProfitable   0    
percentProfitable      29   
returnOnAccount        1    
averageProfitPerTrade  13   
numWinningTrades       4    
numLosingTrades        10   
averageWinningTrade    5    
averageLosingTrade     -1   
expectedValue          0    
