Metric                 Value
---------------------  -----
startingCapital        625  
finalCapital           566  
profit                 -59  
profitPct              -9   
growth                 1    
totalTrades            6    
barCount               36   
maxDrawdown            -141 
maxDrawdownPct         -23  
maxRiskPct             5    
expectency             0    
rmultipleStdDev        2    
systemQuality          0    
profitFactor           1    
proportionProfitable   0    
percentProfitable      17   
returnOnAccount        0    
averageProfitPerTrade  -10  
numWinningTrades       1    
numLosingTrades        5    
averageWinningTrade    8    
averageLosingTrade     -2   
expectedValue          -1   
