direction,entryTime,entryPrice,exitTime,exitPrice,profit,profitPct,growth,riskPct,riskSeries,rmultiple,holdingPeriod,exitReason,stopPrice,stopPriceSeries,profitTarget,entry,open,high,low,close,volume,time,longTermDirection,upTrendCounter,downTrendCounter,longSma,shortSma,longEma,shortEma,rsi
1,2020/02/18,32.17,2020/02/20,38.79,6.619999999999997,20.57817842710599,1.2057817842710599,4.999999999999997,,4.1156356854212,1,exit-rule,30.561500000000002,,,[object Object],5.75,5.95,5.66,5.8,2225820,2020-02-19T00:00:00.000Z,1,4,0,6.346333333333334,5.594285714285713,28.742513075307944,5.70710878372074,37.93103448275862
1,2020/03/02,27.44,2020/03/03,26.068,-1.3719999999999999,-5,0.95,5,,-1,0,stop-loss,26.068,,,[object Object],3.37,3.38,3,3.2,1876297,2020-03-10T00:00:00.000Z,1,0,11,5.069999999999999,3.6957142857142853,13.771609860994213,3.6699374822980313,18.89952153110049
1,2020/03/05,22.68,2020/03/06,21.546,-1.1340000000000003,-5.000000000000002,0.95,5.000000000000002,,-1,0,stop-loss,21.546,,,[object Object],2.75,2.83,2.5,2.83,1540841,2020-03-13T00:00:00.000Z,1,0,14,4.689000000000001,3.172857142857143,11.76934553723567,3.126692375344482,17.43341404358354
1,2020/03/10,20.81,2020/03/11,19.769499999999997,-1.0405000000000015,-5.000000000000008,0.95,5.000000000000008,,-1,0,stop-loss,19.769499999999997,,,[object Object],2.93,3.25,2.88,3.23,1873810,2020-04-12T23:00:00.000Z,1,5,0,3.0126666666666666,2.892857142857143,5.21146595733187,2.963081214878245,63.05732484076433
1,2020/03/13,15.52,2020/03/16,14.744,-0.7759999999999998,-4.999999999999999,0.9500000000000001,4.999999999999999,,-1,0,stop-loss,14.744,,,[object Object],3.4,3.59,3.34,3.55,1205931,2020-04-16T23:00:00.000Z,1,9,0,2.9390000000000005,3.2471428571428573,4.788218561102176,3.26995929064507,58.45070422535211
1,2020/03/18,11.53,2020/03/19,10.9535,-0.5764999999999993,-4.999999999999995,0.9500000000000001,4.999999999999995,,-1,0,stop-loss,10.9535,,,[object Object],5.8,5.8,5.33,5.5,1823241,2020-06-11T23:00:00.000Z,1,6,0,4.9399999999999995,6.137142857142856,5.181435321003564,5.787870763944033,59.18367346938775
1,2020/03/23,11.73,2020/04/17,19.21,7.48,63.76811594202899,1.6376811594202898,5.000000000000008,,12.753623188405777,17,exit-rule,11.1435,,,[object Object],7.33,7.68,6.82,7.6,5001300,2020-07-13T23:00:00.000Z,1,4,0,6.065666666666668,7.112857142857143,6.074613446968108,7.126294358281216,59.856630824372765
1,2020/04/27,17.26,2020/04/29,17.89,0.629999999999999,3.650057937427572,1.0365005793742756,4.9999999999999964,,0.7300115874855149,1,exit-rule,16.397000000000002,,,[object Object],17.55,17.7,16.23,17.1,7132867,2020-08-05T23:00:00.000Z,1,4,0,9.429,15.854285714285712,10.755017939083476,15.712541462223419,71.05380168963984
-1,2020/05/06,17.75,2020/05/08,20.42,2.6700000000000017,15.042253521126769,1.1504225352112678,4.9999999999999964,,3.0084507042253565,1,exit-rule,16.8625,,,[object Object],9.41,9.45,8.8,9.06,6688552,2020-08-26T23:00:00.000Z,-1,0,14,12.57366666666667,10.258571428571429,11.52909652190577,10.42839313473095,12.664714494875525
1,2020/05/15,15.6,2020/05/20,14.82,-0.7799999999999994,-4.9999999999999964,0.9500000000000001,4.9999999999999964,,-1,2,stop-loss,14.82,,,[object Object],8.14,8.17,7.65,8.08,3320140,2020-09-30T23:00:00.000Z,1,4,0,8.661,7.765714285714286,8.797243147596701,7.940994066033869,48.07692307692308
