direction,entryTime,entryPrice,exitTime,exitPrice,profit,profitPct,growth,riskPct,riskSeries,rmultiple,holdingPeriod,exitReason,stopPrice,stopPriceSeries,profitTarget,entry,open,high,low,close,volume,time,longTermDirection,upTrendCounter,downTrendCounter,longSma,shortSma,longEma,shortEma,rsi
1,2020/02/18,112.92,2020/02/21,107.274,-5.646000000000001,-5.000000000000001,0.95,5.000000000000001,,-1,2,stop-loss,107.274,,,[object Object],5.75,5.95,5.66,5.8,2225820,2020-02-19T00:00:00.000Z,1,4,0,6.346333333333334,5.594285714285713,28.742513075307944,5.70710878372074,37.93103448275862
1,2020/02/25,97.93,2020/02/26,93.0335,-4.896500000000003,-5.000000000000003,0.95,5.000000000000003,,-1,0,stop-loss,93.0335,,,[object Object],3.37,3.38,3,3.2,1876297,2020-03-10T00:00:00.000Z,1,0,11,5.069999999999999,3.6957142857142853,13.771609860994213,3.6699374822980313,18.89952153110049
1,2020/02/28,68.41,2020/03/09,64.98949999999999,-3.420500000000004,-5.000000000000006,0.95,5.000000000000006,,-1,5,stop-loss,64.98949999999999,,,[object Object],2.75,2.83,2.5,2.83,1540841,2020-03-13T00:00:00.000Z,1,0,14,4.689000000000001,3.172857142857143,11.76934553723567,3.126692375344482,17.43341404358354
1,2020/03/11,65.78,2020/03/12,62.491,-3.2890000000000015,-5.000000000000003,0.95,5.000000000000003,,-1,0,stop-loss,62.491,,,[object Object],2.93,3.25,2.88,3.23,1873810,2020-04-12T23:00:00.000Z,1,5,0,3.0126666666666666,2.892857142857143,5.21146595733187,2.963081214878245,63.05732484076433
1,2020/03/16,40.46,2020/03/17,38.437,-2.0230000000000032,-5.000000000000008,0.95,5.000000000000008,,-1,0,stop-loss,38.437,,,[object Object],3.4,3.59,3.34,3.55,1205931,2020-04-16T23:00:00.000Z,1,9,0,2.9390000000000005,3.2471428571428573,4.788218561102176,3.26995929064507,58.45070422535211
1,2020/03/19,38.85,2020/03/20,36.9075,-1.9425000000000026,-5.000000000000006,0.95,5.000000000000006,,-1,0,stop-loss,36.9075,,,[object Object],5.8,5.8,5.33,5.5,1823241,2020-06-11T23:00:00.000Z,1,6,0,4.9399999999999995,6.137142857142856,5.181435321003564,5.787870763944033,59.18367346938775
1,2020/03/24,41.23,2020/04/27,67.18,25.95000000000001,62.93960708222171,1.629396070822217,5.000000000000006,,12.587921416444328,22,exit-rule,39.168499999999995,,,[object Object],7.33,7.68,6.82,7.6,5001300,2020-07-13T23:00:00.000Z,1,4,0,6.065666666666668,7.112857142857143,6.074613446968108,7.126294358281216,59.856630824372765
1,2020/09/14,127,2020/09/17,120.65,-6.349999999999994,-4.999999999999996,0.9500000000000001,4.999999999999996,,-1,2,stop-loss,120.65,,,[object Object],17.55,17.7,16.23,17.1,7132867,2020-08-05T23:00:00.000Z,1,4,0,9.429,15.854285714285712,10.755017939083476,15.712541462223419,71.05380168963984
-1,2020/09/21,111.23,2020/10/06,132.39,21.159999999999982,19.0236447001708,1.190236447001708,4.999999999999996,,3.8047289400341637,10,exit-rule,105.66850000000001,,,[object Object],9.41,9.45,8.8,9.06,6688552,2020-08-26T23:00:00.000Z,-1,0,14,12.57366666666667,10.258571428571429,11.52909652190577,10.42839313473095,12.664714494875525
1,2020/10/29,121.94,2020/10/30,115.843,-6.096999999999994,-4.999999999999996,0.9500000000000001,4.999999999999996,,-1,0,stop-loss,115.843,,,[object Object],8.14,8.17,7.65,8.08,3320140,2020-09-30T23:00:00.000Z,1,4,0,8.661,7.765714285714286,8.797243147596701,7.940994066033869,48.07692307692308
1,2020/11/03,119.98,2020/11/06,149.87,29.89,24.912485414235704,1.249124854142357,4.9999999999999964,,4.9824970828471455,2,exit-rule,113.98100000000001,,,[object Object],26.67,33.28,24.53,32.7,35324406,2020-12-02T00:00:00.000Z,1,5,0,20.822666666666667,32.53142857142858,22.299714859985137,30.616883357722294,75.08896797153025
