Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           178  
profit                 78   
profitPct              78   
growth                 2    
totalTrades            9    
barCount               58   
maxDrawdown            -38  
maxDrawdownPct         -23  
maxRiskPct             5    
expectency             2    
rmultipleStdDev        6    
systemQuality          0    
profitFactor           3    
proportionProfitable   0    
percentProfitable      22   
returnOnAccount        3    
averageProfitPerTrade  9    
numWinningTrades       2    
numLosingTrades        7    
averageWinningTrade    229  
averageLosingTrade     -23  
expectedValue          33   
