Metric                 Value
---------------------  -----
startingCapital        714  
finalCapital           1004 
profit                 290  
profitPct              41   
growth                 1    
totalTrades            5    
barCount               11   
maxDrawdown            -102 
maxDrawdownPct         -14  
maxRiskPct             5    
expectency             2    
rmultipleStdDev        7    
systemQuality          0    
profitFactor           3    
proportionProfitable   0    
percentProfitable      20   
returnOnAccount        3    
averageProfitPerTrade  58   
numWinningTrades       1    
numLosingTrades        4    
averageWinningTrade    14   
averageLosingTrade     -1   
expectedValue          2    
