Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           191  
profit                 91   
profitPct              91   
growth                 2    
totalTrades            11   
barCount               6    
maxDrawdown            -12  
maxDrawdownPct         -8   
maxRiskPct             2    
expectency             4    
rmultipleStdDev        8    
systemQuality          0    
profitFactor           5    
proportionProfitable   0    
percentProfitable      36   
returnOnAccount        12   
averageProfitPerTrade  8    
numWinningTrades       4    
numLosingTrades        7    
averageWinningTrade    1    
averageLosingTrade     0    
expectedValue          0    
