Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           128  
profit                 28   
profitPct              28   
growth                 1    
totalTrades            19   
barCount               39   
maxDrawdown            -6   
maxDrawdownPct         -6   
maxRiskPct             2    
expectency             1    
rmultipleStdDev        2    
systemQuality          0    
profitFactor           3    
proportionProfitable   0    
percentProfitable      42   
returnOnAccount        5    
averageProfitPerTrade  1    
numWinningTrades       8    
numLosingTrades        11   
averageWinningTrade    5    
averageLosingTrade     -1   
expectedValue          1    
