direction,entryTime,entryPrice,exitTime,exitPrice,profit,profitPct,growth,riskPct,riskSeries,rmultiple,holdingPeriod,exitReason,stopPrice,stopPriceSeries,profitTarget,entry,open,high,low,close,volume,time,longTermDirection,upTrendCounter,downTrendCounter,longSma,shortSma,longEma,shortEma,rsi
1,2020/02/19,60,2020/02/21,58.8,-1.2000000000000028,-2.000000000000005,0.98,2.000000000000005,,-1,1,stop-loss,58.8,,,[object Object],5.75,5.95,5.66,5.8,2225820,2020-02-19T00:00:00.000Z,1,4,0,6.346333333333334,5.594285714285713,28.742513075307944,5.70710878372074,37.93103448275862
1,2020/04/20,51.64,2020/04/21,50.6072,-1.0328000000000017,-2.000000000000003,0.98,2.000000000000003,,-1,0,stop-loss,50.6072,,,[object Object],3.37,3.38,3,3.2,1876297,2020-03-10T00:00:00.000Z,1,0,11,5.069999999999999,3.6957142857142853,13.771609860994213,3.6699374822980313,18.89952153110049
1,2020/04/30,56.72,2020/05/01,55.5856,-1.1343999999999994,-1.9999999999999991,0.98,1.9999999999999991,,-1,0,stop-loss,55.5856,,,[object Object],2.75,2.83,2.5,2.83,1540841,2020-03-13T00:00:00.000Z,1,0,14,4.689000000000001,3.172857142857143,11.76934553723567,3.126692375344482,17.43341404358354
1,2020/05/18,60.07,2020/06/02,65.2,5.130000000000003,8.540036623938741,1.0854003662393874,1.9999999999999993,,4.270018311969372,9,exit-rule,58.8686,,,[object Object],2.93,3.25,2.88,3.23,1873810,2020-04-12T23:00:00.000Z,1,5,0,3.0126666666666666,2.892857142857143,5.21146595733187,2.963081214878245,63.05732484076433
1,2020/06/04,65.8,2020/06/05,64.484,-1.3160000000000025,-2.000000000000004,0.98,2.000000000000004,,-1,0,stop-loss,64.484,,,[object Object],3.4,3.59,3.34,3.55,1205931,2020-04-16T23:00:00.000Z,1,9,0,2.9390000000000005,3.2471428571428573,4.788218561102176,3.26995929064507,58.45070422535211
1,2020/06/09,64.6,2020/06/11,63.30799999999999,-1.2920000000000016,-2.0000000000000027,0.98,2.0000000000000027,,-1,1,stop-loss,63.30799999999999,,,[object Object],5.8,5.8,5.33,5.5,1823241,2020-06-11T23:00:00.000Z,1,6,0,4.9399999999999995,6.137142857142856,5.181435321003564,5.787870763944033,59.18367346938775
1,2020/06/22,68.66,2020/06/24,71.63,2.969999999999999,4.3256626856976395,1.0432566268569763,1.9999999999999958,,2.162831342848824,1,exit-rule,67.2868,,,[object Object],7.33,7.68,6.82,7.6,5001300,2020-07-13T23:00:00.000Z,1,4,0,6.065666666666668,7.112857142857143,6.074613446968108,7.126294358281216,59.856630824372765
1,2020/07/15,80.36,2020/07/23,82.9,2.5400000000000063,3.1607765057242485,1.0316077650572424,2.000000000000007,,1.5803882528621185,5,exit-rule,78.7528,,,[object Object],17.55,17.7,16.23,17.1,7132867,2020-08-05T23:00:00.000Z,1,4,0,9.429,15.854285714285712,10.755017939083476,15.712541462223419,71.05380168963984
-1,2020/08/06,85.62,2020/08/07,83.9076,-1.7124000000000024,-2.0000000000000027,0.98,2.0000000000000027,,-1,0,stop-loss,83.9076,,,[object Object],9.41,9.45,8.8,9.06,6688552,2020-08-26T23:00:00.000Z,-1,0,14,12.57366666666667,10.258571428571429,11.52909652190577,10.42839313473095,12.664714494875525
1,2020/08/19,88.63,2020/09/01,96.45,7.820000000000007,8.82319756290196,1.0882319756290195,1.999999999999997,,4.411598781450987,8,exit-rule,86.8574,,,[object Object],8.14,8.17,7.65,8.08,3320140,2020-09-30T23:00:00.000Z,1,4,0,8.661,7.765714285714286,8.797243147596701,7.940994066033869,48.07692307692308
