Metric                 Value
---------------------  -----
startingCapital        625  
finalCapital           709  
profit                 84   
profitPct              13   
growth                 1    
totalTrades            12   
barCount               6    
maxDrawdown            -57  
maxDrawdownPct         -8   
maxRiskPct             2    
expectency             1    
rmultipleStdDev        2    
systemQuality          0    
profitFactor           2    
proportionProfitable   0    
percentProfitable      33   
returnOnAccount        2    
averageProfitPerTrade  7    
numWinningTrades       4    
numLosingTrades        8    
averageWinningTrade    4    
averageLosingTrade     -1   
expectedValue          1    
