Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           166  
profit                 66   
profitPct              66   
growth                 2    
totalTrades            21   
barCount               25   
maxDrawdown            -12  
maxDrawdownPct         -10  
maxRiskPct             2    
expectency             1    
rmultipleStdDev        3    
systemQuality          0    
profitFactor           3    
proportionProfitable   0    
percentProfitable      43   
returnOnAccount        7    
averageProfitPerTrade  3    
numWinningTrades       9    
numLosingTrades        12   
averageWinningTrade    2    
averageLosingTrade     0    
expectedValue          0    
