Metric                 Value
---------------------  -----
startingCapital        500  
finalCapital           471  
profit                 -29  
profitPct              -6   
growth                 1    
totalTrades            3    
barCount               0    
maxDrawdown            -29  
maxDrawdownPct         -6   
maxRiskPct             2    
expectency             -1   
rmultipleStdDev        0    
systemQuality          NaN  
profitFactor           0    
proportionProfitable   0    
percentProfitable      0    
returnOnAccount        -1   
averageProfitPerTrade  -10  
numWinningTrades       0    
numLosingTrades        3    
averageWinningTrade    0    
averageLosingTrade     0    
expectedValue          0    
