Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           106  
profit                 6    
profitPct              6    
growth                 1    
totalTrades            10   
barCount               42   
maxDrawdown            -6   
maxDrawdownPct         -6   
maxRiskPct             2    
expectency             0    
rmultipleStdDev        2    
systemQuality          0    
profitFactor           2    
proportionProfitable   0    
percentProfitable      40   
returnOnAccount        1    
averageProfitPerTrade  1    
numWinningTrades       4    
numLosingTrades        6    
averageWinningTrade    14   
averageLosingTrade     -5   
expectedValue          3    
