Metric                 Value
---------------------  -----
startingCapital        625  
finalCapital           1042 
profit                 417  
profitPct              67   
growth                 2    
totalTrades            11   
barCount               11   
maxDrawdown            -25  
maxDrawdownPct         -4   
maxRiskPct             2    
expectency             2    
rmultipleStdDev        3    
systemQuality          1    
profitFactor           10   
proportionProfitable   1    
percentProfitable      64   
returnOnAccount        17   
averageProfitPerTrade  38   
numWinningTrades       7    
numLosingTrades        4    
averageWinningTrade    5    
averageLosingTrade     -1   
expectedValue          3    
