Metric                 Value
---------------------  -----
startingCapital        500  
finalCapital           527  
profit                 27   
profitPct              5    
growth                 1    
totalTrades            2    
barCount               1    
maxDrawdown            -11  
maxDrawdownPct         -2   
maxRiskPct             2    
expectency             1    
rmultipleStdDev        3    
systemQuality          0    
profitFactor           7    
proportionProfitable   1    
percentProfitable      50   
returnOnAccount        3    
averageProfitPerTrade  13   
numWinningTrades       1    
numLosingTrades        1    
averageWinningTrade    1    
averageLosingTrade     0    
expectedValue          0    
