Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           132  
profit                 32   
profitPct              32   
growth                 1    
totalTrades            18   
barCount               43   
maxDrawdown            -9   
maxDrawdownPct         -8   
maxRiskPct             2    
expectency             1    
rmultipleStdDev        2    
systemQuality          0    
profitFactor           2    
proportionProfitable   0    
percentProfitable      39   
returnOnAccount        4    
averageProfitPerTrade  2    
numWinningTrades       7    
numLosingTrades        11   
averageWinningTrade    14   
averageLosingTrade     -4   
expectedValue          3    
