Metric                 Value
---------------------  -----
startingCapital        625  
finalCapital           735  
profit                 110  
profitPct              18   
growth                 1    
totalTrades            14   
barCount               11   
maxDrawdown            -91  
maxDrawdownPct         -12  
maxRiskPct             2    
expectency             1    
rmultipleStdDev        3    
systemQuality          0    
profitFactor           2    
proportionProfitable   0    
percentProfitable      29   
returnOnAccount        1    
averageProfitPerTrade  8    
numWinningTrades       4    
numLosingTrades        10   
averageWinningTrade    7    
averageLosingTrade     -2   
expectedValue          1    
