Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           151  
profit                 51   
profitPct              51   
growth                 2    
totalTrades            16   
barCount               25   
maxDrawdown            -5   
maxDrawdownPct         -4   
maxRiskPct             2    
expectency             1    
rmultipleStdDev        3    
systemQuality          0    
profitFactor           3    
proportionProfitable   1    
percentProfitable      50   
returnOnAccount        12   
averageProfitPerTrade  3    
numWinningTrades       8    
numLosingTrades        8    
averageWinningTrade    0    
averageLosingTrade     0    
expectedValue          0    
