direction,entryTime,entryPrice,exitTime,exitPrice,profit,profitPct,growth,riskPct,riskSeries,rmultiple,holdingPeriod,exitReason,stopPrice,stopPriceSeries,profitTarget,entry,open,high,low,close,volume,time,longTermDirection,upTrendCounter,downTrendCounter,longSma,shortSma,longEma,shortEma,rsi
1,2020/04/09,5.51,2020/04/13,5.3998,-0.11019999999999985,-1.9999999999999973,0.98,1.9999999999999973,,-1,0,stop-loss,5.3998,,,[object Object],5.75,5.95,5.66,5.8,2225820,2020-02-19T00:00:00.000Z,1,4,0,6.346333333333334,5.594285714285713,28.742513075307944,5.70710878372074,37.93103448275862
1,2020/05/22,5.68,2020/05/28,6.05,0.3700000000000001,6.514084507042256,1.0651408450704225,1.9999999999999987,,3.25704225352113,2,exit-rule,5.5664,,,[object Object],3.37,3.38,3,3.2,1876297,2020-03-10T00:00:00.000Z,1,0,11,5.069999999999999,3.6957142857142853,13.771609860994213,3.6699374822980313,18.89952153110049
1,2020/06/02,5.96,2020/06/05,7.24,1.2800000000000002,21.4765100671141,1.214765100671141,2.000000000000003,,10.738255033557031,2,exit-rule,5.8408,,,[object Object],2.75,2.83,2.5,2.83,1540841,2020-03-13T00:00:00.000Z,1,0,14,4.689000000000001,3.172857142857143,11.76934553723567,3.126692375344482,17.43341404358354
1,2020/06/09,7.22,2020/06/10,7.0756,-0.14440000000000008,-2.000000000000001,0.98,2.000000000000001,,-1,0,stop-loss,7.0756,,,[object Object],2.93,3.25,2.88,3.23,1873810,2020-04-12T23:00:00.000Z,1,5,0,3.0126666666666666,2.892857142857143,5.21146595733187,2.963081214878245,63.05732484076433
1,2020/06/15,6.18,2020/06/17,6.56,0.3799999999999999,6.148867313915856,1.0614886731391586,1.9999999999999956,,3.074433656957935,1,exit-rule,6.0564,,,[object Object],3.4,3.59,3.34,3.55,1205931,2020-04-16T23:00:00.000Z,1,9,0,2.9390000000000005,3.2471428571428573,4.788218561102176,3.26995929064507,58.45070422535211
1,2020/07/07,6.14,2020/07/09,6.0172,-0.1227999999999998,-1.999999999999997,0.98,1.999999999999997,,-1,1,stop-loss,6.0172,,,[object Object],5.8,5.8,5.33,5.5,1823241,2020-06-11T23:00:00.000Z,1,6,0,4.9399999999999995,6.137142857142856,5.181435321003564,5.787870763944033,59.18367346938775
1,2020/07/17,6.9,2020/07/20,6.7620000000000005,-0.1379999999999999,-1.9999999999999982,0.98,1.9999999999999982,,-1,0,stop-loss,6.7620000000000005,,,[object Object],7.33,7.68,6.82,7.6,5001300,2020-07-13T23:00:00.000Z,1,4,0,6.065666666666668,7.112857142857143,6.074613446968108,7.126294358281216,59.856630824372765
1,2020/07/22,6.64,2020/07/24,6.9,0.2600000000000007,3.91566265060242,1.0391566265060241,1.9999999999999938,,1.957831325301216,1,exit-rule,6.5072,,,[object Object],17.55,17.7,16.23,17.1,7132867,2020-08-05T23:00:00.000Z,1,4,0,9.429,15.854285714285712,10.755017939083476,15.712541462223419,71.05380168963984
-1,2020/07/28,6.9,2020/07/30,6.7620000000000005,-0.1379999999999999,-1.9999999999999982,0.98,1.9999999999999982,,-1,1,stop-loss,6.7620000000000005,,,[object Object],9.41,9.45,8.8,9.06,6688552,2020-08-26T23:00:00.000Z,-1,0,14,12.57366666666667,10.258571428571429,11.52909652190577,10.42839313473095,12.664714494875525
1,2020/09/14,7.01,2020/09/21,6.8698,-0.1402000000000001,-2.0000000000000013,0.98,2.0000000000000013,,-1,4,stop-loss,6.8698,,,[object Object],8.14,8.17,7.65,8.08,3320140,2020-09-30T23:00:00.000Z,1,4,0,8.661,7.765714285714286,8.797243147596701,7.940994066033869,48.07692307692308
1,2020/10/02,6.62,2020/10/06,7.06,0.4399999999999995,6.6465256797583,1.066465256797583,1.9999999999999944,,3.3232628398791597,1,exit-rule,6.4876000000000005,,,[object Object],26.67,33.28,24.53,32.7,35324406,2020-12-02T00:00:00.000Z,1,5,0,20.822666666666667,32.53142857142858,22.299714859985137,30.616883357722294,75.08896797153025
1,2020/10/08,7.29,2020/10/13,7.82,0.5300000000000002,7.2702331961591256,1.0727023319615911,2.0000000000000053,,3.6351165980795535,2,exit-rule,7.1442,,,[object Object],32.19,38.2229,31.912,37.81,17141785,2020-12-10T00:00:00.000Z,1,5,0,24.209666666666667,33.94428571428572,26.265067986968056,34.14909374213368,66.62585700293829
1,2020/10/16,7.71,2020/10/23,8.3,0.5900000000000007,7.652399481193266,1.0765239948119327,2.000000000000004,,3.8261997405966244,4,exit-rule,7.5558,,,[object Object],36.2,41,36.02,39.29,18830507,2020-12-16T00:00:00.000Z,1,9,0,27.049666666666663,36.78857142857142,28.944892158262512,36.66072887934699,52.57510729613734
1,2020/11/11,8.6,2020/11/12,8.427999999999999,-0.1720000000000006,-2.000000000000007,0.98,2.000000000000007,,-1,0,stop-loss,8.427999999999999,,,[object Object],3.07,3.23,3,3.16,2329607,2020-02-19T00:00:00.000Z,1,4,0,2.1990133333333333,2.5828571428571427,24.070233012094832,2.72169980283891,73.30877046378242
1,2020/11/16,8.74,2020/11/23,8.82,0.08000000000000007,0.9153318077803212,1.0091533180778032,1.9999999999999931,,0.45766590389016215,4,exit-rule,8.5652,,,[object Object],1.6,1.8,1.56,1.69,799042,2020-03-25T00:00:00.000Z,1,4,0,2.2396666666666665,1.4857142857142858,6.102889813462681,1.586012407271396,30.51643192488264
1,2020/12/07,9.31,2020/12/10,9.123800000000001,-0.18619999999999948,-1.9999999999999942,0.9800000000000001,1.9999999999999942,,-1,2,stop-loss,9.123800000000001,,,[object Object],1.73,1.85,1.67,1.77,835580,2020-05-31T23:00:00.000Z,1,4,0,1.6998099999999998,1.6857857142857142,1.9023265960691633,1.6997809537686912,60.327022375215144
