Metric                 Value
---------------------  -----
startingCapital        500  
finalCapital           480  
profit                 -20  
profitPct              -4   
growth                 1    
totalTrades            3    
barCount               3    
maxDrawdown            -20  
maxDrawdownPct         -4   
maxRiskPct             2    
expectency             -1   
rmultipleStdDev        1    
systemQuality          -1   
profitFactor           0    
proportionProfitable   0    
percentProfitable      0    
returnOnAccount        -1   
averageProfitPerTrade  -7   
numWinningTrades       0    
numLosingTrades        3    
averageWinningTrade    0    
averageLosingTrade     -2   
expectedValue          -2   
