Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           99   
profit                 -1   
profitPct              -1   
growth                 1    
totalTrades            12   
barCount               19   
maxDrawdown            -7   
maxDrawdownPct         -7   
maxRiskPct             2    
expectency             0    
rmultipleStdDev        1    
systemQuality          0    
profitFactor           1    
proportionProfitable   0    
percentProfitable      33   
returnOnAccount        0    
averageProfitPerTrade  0    
numWinningTrades       4    
numLosingTrades        8    
averageWinningTrade    2    
averageLosingTrade     -1   
expectedValue          0    
