direction,entryTime,entryPrice,exitTime,exitPrice,profit,profitPct,growth,riskPct,riskSeries,rmultiple,holdingPeriod,exitReason,stopPrice,stopPriceSeries,profitTarget,entry,open,high,low,close,volume,time,longTermDirection,upTrendCounter,downTrendCounter,longSma,shortSma,longEma,shortEma,rsi
1,2020/02/18,34.7,2020/02/24,34.006,-0.6940000000000026,-2.000000000000007,0.9799999999999999,2.000000000000007,,-1,3,stop-loss,34.006,,,[object Object],5.75,5.95,5.66,5.8,2225820,2020-02-19T00:00:00.000Z,1,4,0,6.346333333333334,5.594285714285713,28.742513075307944,5.70710878372074,37.93103448275862
1,2020/03/26,26.3955,2020/03/27,25.86759,-0.5279099999999985,-1.9999999999999944,0.9800000000000001,1.9999999999999944,,-1,0,stop-loss,25.86759,,,[object Object],3.37,3.38,3,3.2,1876297,2020-03-10T00:00:00.000Z,1,0,11,5.069999999999999,3.6957142857142853,13.771609860994213,3.6699374822980313,18.89952153110049
1,2020/04/14,28.22,2020/04/15,27.6556,-0.5643999999999991,-1.999999999999997,0.98,1.999999999999997,,-1,0,stop-loss,27.6556,,,[object Object],2.75,2.83,2.5,2.83,1540841,2020-03-13T00:00:00.000Z,1,0,14,4.689000000000001,3.172857142857143,11.76934553723567,3.126692375344482,17.43341404358354
1,2020/04/20,28.66,2020/04/23,29.6756,1.0155999999999992,3.543614794138169,1.0354361479413816,1.9999999999999998,,1.7718073970690846,2,exit-rule,28.0868,,,[object Object],2.93,3.25,2.88,3.23,1873810,2020-04-12T23:00:00.000Z,1,5,0,3.0126666666666666,2.892857142857143,5.21146595733187,2.963081214878245,63.05732484076433
1,2020/04/30,31.05,2020/05/01,30.429000000000002,-0.6209999999999987,-1.9999999999999956,0.9800000000000001,1.9999999999999956,,-1,0,stop-loss,30.429000000000002,,,[object Object],3.4,3.59,3.34,3.55,1205931,2020-04-16T23:00:00.000Z,1,9,0,2.9390000000000005,3.2471428571428573,4.788218561102176,3.26995929064507,58.45070422535211
1,2020/05/15,33.03,2020/05/19,34.61,1.5799999999999983,4.783530124129574,1.0478353012412958,2.000000000000007,,2.3917650620647786,1,exit-rule,32.3694,,,[object Object],5.8,5.8,5.33,5.5,1823241,2020-06-11T23:00:00.000Z,1,6,0,4.9399999999999995,6.137142857142856,5.181435321003564,5.787870763944033,59.18367346938775
1,2020/05/21,35.67,2020/05/27,34.9566,-0.7134,-2,0.98,2,,-1,2,stop-loss,34.9566,,,[object Object],7.33,7.68,6.82,7.6,5001300,2020-07-13T23:00:00.000Z,1,4,0,6.065666666666668,7.112857142857143,6.074613446968108,7.126294358281216,59.856630824372765
1,2020/06/09,38.68,2020/06/11,37.32,-1.3599999999999994,-3.5160289555325734,0.9648397104446743,2.000000000000005,,-1.7580144777662825,1,exit-rule,37.9064,,,[object Object],17.55,17.7,16.23,17.1,7132867,2020-08-05T23:00:00.000Z,1,4,0,9.429,15.854285714285712,10.755017939083476,15.712541462223419,71.05380168963984
-1,2020/08/13,43.21,2020/08/21,45.57,2.3599999999999994,5.46169868086091,1.054616986808609,1.9999999999999925,,2.7308493404304657,5,exit-rule,42.345800000000004,,,[object Object],9.41,9.45,8.8,9.06,6688552,2020-08-26T23:00:00.000Z,-1,0,14,12.57366666666667,10.258571428571429,11.52909652190577,10.42839313473095,12.664714494875525
1,2020/08/26,46.58,2020/09/02,52.35,5.770000000000003,12.387290682696444,1.1238729068269644,2.0000000000000067,,6.193645341348201,4,exit-rule,45.648399999999995,,,[object Object],8.14,8.17,7.65,8.08,3320140,2020-09-30T23:00:00.000Z,1,4,0,8.661,7.765714285714286,8.797243147596701,7.940994066033869,48.07692307692308
