Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           171  
profit                 71   
profitPct              71   
growth                 2    
totalTrades            9    
barCount               12   
maxDrawdown            -3   
maxDrawdownPct         -2   
maxRiskPct             2    
expectency             3    
rmultipleStdDev        3    
systemQuality          1    
profitFactor           14   
proportionProfitable   1    
percentProfitable      78   
returnOnAccount        36   
averageProfitPerTrade  8    
numWinningTrades       7    
numLosingTrades        2    
averageWinningTrade    0    
averageLosingTrade     0    
expectedValue          0    
