Metric                 Value
---------------------  -----
startingCapital        526  
finalCapital           485  
profit                 -41  
profitPct              -8   
growth                 1    
totalTrades            4    
barCount               0    
maxDrawdown            -41  
maxDrawdownPct         -8   
maxRiskPct             2    
expectency             -1   
rmultipleStdDev        0    
systemQuality          NaN  
profitFactor           0    
proportionProfitable   0    
percentProfitable      0    
returnOnAccount        -1   
averageProfitPerTrade  -10  
numWinningTrades       0    
numLosingTrades        4    
averageWinningTrade    0    
averageLosingTrade     -1   
expectedValue          -1   
