direction,entryTime,entryPrice,exitTime,exitPrice,profit,profitPct,growth,riskPct,riskSeries,rmultiple,holdingPeriod,exitReason,stopPrice,stopPriceSeries,profitTarget,entry,open,high,low,close,volume,time,longTermDirection,upTrendCounter,downTrendCounter,longSma,shortSma,longEma,shortEma,rsi
1,2020/03/31,159.4,2020/04/01,156.21200000000002,-3.187999999999988,-1.9999999999999925,0.9800000000000001,1.9999999999999925,,-1,0,stop-loss,156.21200000000002,,,[object Object],5.75,5.95,5.66,5.8,2225820,2020-02-19T00:00:00.000Z,1,4,0,6.346333333333334,5.594285714285713,28.742513075307944,5.70710878372074,37.93103448275862
1,2020/04/09,166.36,2020/04/13,163.0328,-3.327200000000005,-2.0000000000000027,0.98,2.0000000000000027,,-1,0,stop-loss,163.0328,,,[object Object],3.37,3.38,3,3.2,1876297,2020-03-10T00:00:00.000Z,1,0,11,5.069999999999999,3.6957142857142853,13.771609860994213,3.6699374822980313,18.89952153110049
1,2020/04/15,171.2,2020/04/21,167.77599999999998,-3.4240000000000066,-2.000000000000004,0.98,2.000000000000004,,-1,3,stop-loss,167.77599999999998,,,[object Object],2.75,2.83,2.5,2.83,1540841,2020-03-13T00:00:00.000Z,1,0,14,4.689000000000001,3.172857142857143,11.76934553723567,3.126692375344482,17.43341404358354
1,2020/05/06,182.08,2020/05/13,178.4384,-3.641600000000011,-2.0000000000000058,0.98,2.0000000000000058,,-1,4,stop-loss,178.4384,,,[object Object],2.93,3.25,2.88,3.23,1873810,2020-04-12T23:00:00.000Z,1,5,0,3.0126666666666666,2.892857142857143,5.21146595733187,2.963081214878245,63.05732484076433
1,2020/05/15,179.06,2020/05/19,185.03,5.969999999999999,3.334077962694068,1.0333407796269407,1.9999999999999976,,1.6670389813470363,1,exit-rule,175.4788,,,[object Object],3.4,3.59,3.34,3.55,1205931,2020-04-16T23:00:00.000Z,1,9,0,2.9390000000000005,3.2471428571428573,4.788218561102176,3.26995929064507,58.45070422535211
1,2020/06/04,184.3,2020/06/11,193.13,8.829999999999984,4.791101465002704,1.047911014650027,2.000000000000004,,2.3955507325013476,4,exit-rule,180.614,,,[object Object],5.8,5.8,5.33,5.5,1823241,2020-06-11T23:00:00.000Z,1,6,0,4.9399999999999995,6.137142857142856,5.181435321003564,5.787870763944033,59.18367346938775
1,2020/06/15,184.58,2020/06/18,194,9.419999999999987,5.103478166648601,1.051034781666486,1.9999999999999967,,2.5517390833243048,2,exit-rule,180.88840000000002,,,[object Object],7.33,7.68,6.82,7.6,5001300,2020-07-13T23:00:00.000Z,1,4,0,6.065666666666668,7.112857142857143,6.074613446968108,7.126294358281216,59.856630824372765
1,2020/07/10,213.62,2020/07/13,209.3476,-4.272400000000005,-2.000000000000002,0.98,2.000000000000002,,-1,0,stop-loss,209.3476,,,[object Object],17.55,17.7,16.23,17.1,7132867,2020-08-05T23:00:00.000Z,1,4,0,9.429,15.854285714285712,10.755017939083476,15.712541462223419,71.05380168963984
-1,2020/08/03,211.52,2020/08/07,214.85,3.329999999999984,1.5743192133131543,1.0157431921331315,2.0000000000000013,,0.7871596066565766,3,exit-rule,207.2896,,,[object Object],9.41,9.45,8.8,9.06,6688552,2020-08-26T23:00:00.000Z,-1,0,14,12.57366666666667,10.258571428571429,11.52909652190577,10.42839313473095,12.664714494875525
1,2020/08/19,211.49,2020/08/28,228.18,16.689999999999998,7.891626081611422,1.0789162608161142,2.0000000000000053,,3.9458130408057004,6,exit-rule,207.2602,,,[object Object],8.14,8.17,7.65,8.08,3320140,2020-09-30T23:00:00.000Z,1,4,0,8.661,7.765714285714286,8.797243147596701,7.940994066033869,48.07692307692308
1,2020/09/02,227.97,2020/09/03,223.4106,-4.559400000000011,-2.000000000000005,0.98,2.000000000000005,,-1,0,stop-loss,223.4106,,,[object Object],26.67,33.28,24.53,32.7,35324406,2020-12-02T00:00:00.000Z,1,5,0,20.822666666666667,32.53142857142858,22.299714859985137,30.616883357722294,75.08896797153025
1,2020/09/29,209.35,2020/10/05,207.22,-2.1299999999999955,-1.0174349176020996,0.989825650823979,2.0000000000000058,,-0.5087174588010484,3,exit-rule,205.16299999999998,,,[object Object],32.19,38.2229,31.912,37.81,17141785,2020-12-10T00:00:00.000Z,1,5,0,24.209666666666667,33.94428571428572,26.265067986968056,34.14909374213368,66.62585700293829
1,2020/10/21,213.12,2020/10/26,213.85,0.7299999999999898,0.3425300300300252,1.0034253003003002,2.000000000000006,,0.17126501501501207,2,exit-rule,208.8576,,,[object Object],36.2,41,36.02,39.29,18830507,2020-12-16T00:00:00.000Z,1,9,0,27.049666666666663,36.78857142857142,28.944892158262512,36.66072887934699,52.57510729613734
1,2020/12/22,222.69,2020/12/24,222.75,0.060000000000002274,0.026943284386367717,1.0002694328438637,2.0000000000000004,,0.013471642193183857,2,finalize,218.2362,,,[object Object],3.07,3.23,3,3.16,2329607,2020-02-19T00:00:00.000Z,1,4,0,2.1990133333333333,2.5828571428571427,24.070233012094832,2.72169980283891,73.30877046378242
