Metric                 Value
---------------------  -----
startingCapital        526  
finalCapital           516  
profit                 -11  
profitPct              -2   
growth                 1    
totalTrades            1    
barCount               0    
maxDrawdown            -11  
maxDrawdownPct         -2   
maxRiskPct             2    
expectency             -1   
rmultipleStdDev        0    
systemQuality          NaN  
profitFactor           0    
proportionProfitable   0    
percentProfitable      0    
returnOnAccount        -1   
averageProfitPerTrade  -11  
numWinningTrades       0    
numLosingTrades        1    
averageWinningTrade    0    
averageLosingTrade     -1   
expectedValue          -1   
