Metric                 Value
---------------------  -----
startingCapital        714  
finalCapital           1084 
profit                 370  
profitPct              52   
growth                 2    
totalTrades            19   
barCount               25   
maxDrawdown            -100 
maxDrawdownPct         -11  
maxRiskPct             2    
expectency             1    
rmultipleStdDev        3    
systemQuality          0    
profitFactor           4    
proportionProfitable   0    
percentProfitable      47   
returnOnAccount        5    
averageProfitPerTrade  19   
numWinningTrades       9    
numLosingTrades        10   
averageWinningTrade    14   
averageLosingTrade     -4   
expectedValue          5    
