Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           614  
profit                 514  
profitPct              514  
growth                 6    
totalTrades            9    
barCount               6    
maxDrawdown            -13  
maxDrawdownPct         -2   
maxRiskPct             2    
expectency             12   
rmultipleStdDev        12   
systemQuality          1    
profitFactor           75   
proportionProfitable   1    
percentProfitable      67   
returnOnAccount        257  
averageProfitPerTrade  57   
numWinningTrades       6    
numLosingTrades        3    
averageWinningTrade    14   
averageLosingTrade     0    
expectedValue          9    
