Metric                 Value
---------------------  -----
startingCapital        135  
finalCapital           160  
profit                 25   
profitPct              18   
growth                 1    
totalTrades            8    
barCount               3    
maxDrawdown            -9   
maxDrawdownPct         -6   
maxRiskPct             2    
expectency             1    
rmultipleStdDev        3    
systemQuality          0    
profitFactor           2    
proportionProfitable   0    
percentProfitable      38   
returnOnAccount        3    
averageProfitPerTrade  3    
numWinningTrades       3    
numLosingTrades        5    
averageWinningTrade    0    
averageLosingTrade     0    
expectedValue          0    
