Metric                 Value
---------------------  -----
startingCapital        99   
finalCapital           122  
profit                 23   
profitPct              23   
growth                 1    
totalTrades            9    
barCount               40   
maxDrawdown            -5   
maxDrawdownPct         -4   
maxRiskPct             2    
expectency             1    
rmultipleStdDev        2    
systemQuality          1    
profitFactor           4    
proportionProfitable   1    
percentProfitable      56   
returnOnAccount        6    
averageProfitPerTrade  3    
numWinningTrades       5    
numLosingTrades        4    
averageWinningTrade    2    
averageLosingTrade     -1   
expectedValue          1    
